State,% Obama,HDI Rank,Life Expectancy at Birth (years),Less Than High School (%),At Least High School Diploma (%),At Least Bachelor's Degree(%),Graduate or Professional Degree(%),School Enrollment(% enrolled ages 3 to 24),Median Personal Earnings (2009 dollars),Health Index,Education Index,Income Index,Diabetes (% age 18 and older),Low-Birth-Weight Infants (% of all infants),"Trauma-Related Death Rate (per 100,000 population)",3- and 4-year-olds Not Enrolled in Preschool (%),4th Graders Reading Below Proficiency (%),High School Freshmen Not Graduating After 4 Years (%),Children Under 6 Living in Poverty (%),Adults 65 and Older Living in Poverty (%),"Marginally Attached Workers (per 10,000 working-age Adults)",Renters with Severe Housing-Cost Burden (gross rent > 50% of household income),Preschool Enrollment (% enrolled ages 3 and 4),Students Learning English as a Second Language (% public K-12),Special Education Students (% public K-12),Economically Disadvantaged Students (% public K-12),4th Grade National Assessment of Educational Progress in Reading (% at or above proficient),8th Grade National Assessment of Educational Progress in Math (% at or above proficient),Public High School Graduation Rate (%),High School Graduates Enrolling in College (%),Annual Costs of Public 4-Year College (average $),Annual Costs of Private 4-Year College (average $),Annual Costs of Public 2-Year College (average $),"Per Pupil Spending, Public K-12 ($)",State Spending on Higher Education ($ per capita),State Spending on Academic Research and Development  ($ per capita),Individuals with Home Internet Access (% ages 3 and older),Teenagers Not in School and Not Working (% ages 16-19),Total Population,Population under 18 (%),Population over 65 (%),Urban Population (%),Rural Population (%),White not Latino Population (%),Latino Population (%),African American Population (%),Asian American Population (%),Native American Population (%),Population some other race or races (%),Renters Spending 30% or More on Housing (%),Owners Spending 30% or More on Housing (%),Housing Units Occupied by Owner (%),Housing Units with 1.01 or More Occupants per Room (%),"Foreclosures (per 10,000 homes)",Homeless Population (total number),Homeless (% of population),"Commute 60 Minutes or More (% of workers, 16 and over)",Commute by Carpool (% of workers),State Expenditure on Transportation ($ per person),"Infant Mortality Rate (per 1,000 live births)",Low-Birth-Weight Infants (% of all infants),"Child Mortality (age 1-4, per 100,000 population)",Food-Insecure Households (%),Child Immunization Rate (%),Diabetes (% age 18 and older),Obesity (% age 20 and older),"Births to Teenage Girls (per 1,000 age 15-19)","Practicing Physicians (per 10,000 population)",Smoking (% age 18 and older),Binge Drinking (% adults in past 30 days),Uninsured (% of individuals lacking coverage),Medicare Recipients (thousands),Medicaid Recipients (thousands),Medicaid Eligibility Cutoff (income as % of poverty line),State Medicaid Spending (per recipient),Children on Medicaid (% age 0 -18),Army Recruits (total),"Army Recruits (per 1,000 youth)","Army Recruits (per 1,000 youth)",Change in Army Recruits from 2007 to 2008 (%),"Total Military Casualties in Operations Enduring Freedom and Iraqi Freedom, to April 2010","Violent Crime  (per 100,000)","Property Crime (per 100,000)","Homicide (per 100,000)",Homicide by Firearm (%),"Suicide (per 100,000 age-adjusted)",Rape (total number),"Rape (per 100,000)","Child Maltreatment (per 1,000 children)",State Police Expenditure ($ per resident),"Prisoners, State or Federal Jurisdiction (total number)","Incarceration Rate (per 100,000 inhabitants)",State Expenditure on Corrections ($ per prisoner),Volunteerism (% of adults ages 18 and older who volunteer),"Group Membership (% of adults 18 and over involved in social, civic, sports, and religious groups)",Turnout (% of eligible voters who voted),Change in Turnout from 2004,"Ineligible to Vote Due to Felony Convictions (per 100,000 voting-age population)",Seats in State Legislatures Held by Women (%),Women in Congressional Delegation (total),Men in Congressional Delegation (total),Carbon Dioxide Emissions (metric tons per capita),Carcinogen Releases (pounds),Lead Releases (pounds),"Mercury Releases (pounds per 1,000 population)",Dioxin Releases (grams),Superfund Sites (total),Protected Forest (acres),Protected Farm and Ranch Land (acres),Energy Consumption (BTUs per capita),"Water Consumption (gallons per day, per capita)","Labor Force Participation Rate (%, ages 16 to 64)",State Per Capita GDP ($),State Minimum Wage ($ per hour),Gini Coefficient,Poverty Rate (% below federal poverty threshold),Child Poverty (% living in families below the poverty line),Federal Revenue to Each State ($ per capita),State Public Assistance Spending ($ per capita),Food Stamps Use (%),Unemployment Rate (% ages 16 and over),Union Membership (%),"Bankruptcies (filings per 1,000)","Management, professional, and related occupations (%)",Service occupations (%),Sales and office occupations (%),"Farming, fishing, and forestry occupations (%)","Construction, extraction, maintenance and repair occupations (%)","Production, transportation, and material moving occupations (%)"
Alabama,38.44,4.09,75.2,18.1,81.9,22,7.7,83.6,26112,3.83,4.25,4.18,11.2,10.4,78.1,53.1,71.8,32.9,25.8,12.1,96.5,20.9,46.9,2.6,11.1,52.2,28.2,20.4,67.1,61.5,12166,22444,2823,8709,906,152,61.7,9.6,4661900,24.1,13.8,55.4,44.6,68.4,2.8,26.1,1,0.5,1.3,41.3,28.8,71,2.1,11.2,4731,0.1,5.8,11.8,269,9,10.4,31.2,11.9,83.1,11.2,32.2,53.5,21.6,22.1,12,13.7,789,546,24,8059,30.9,1630,2.5,2.5,0,87,453,4083,9.8,68.4,12.4,1617,34.7,8.2,35,29871,619,19316,23.5,32.6,61.8,8,1799,12.9,0,9,30.5,13507625,4189437,50.9,353,13,10127,1309,479024,2464,71.6,29411,"",0.467,15.7,21.7,9571,9,12.1,10.8,10.9,7.3,30.8,15.5,26.1,0.6,10.8,16.1
Alaska,41.17,5.27,78.3,8.4,91.6,27.3,9.7,84.9,31774,5.13,5.15,5.54,6.7,5.7,86.4,57,72.8,30.9,13.4,3.7,106.3,13.9,43,9.2,13.5,34.5,27.2,33.5,69.1,45.8,12970,28837,3119,12781,1252,162,83.4,10.9,686293,26.2,7.3,65.6,34.4,65.6,6.2,3.4,4.6,12.5,7.8,38,34.2,65,5.7,10.1,2749,0.41,4.5,14.4,3230,6.5,5.7,34.8,12.4,79.2,6.7,27.1,44.3,24.2,21.5,15.9,20.8,57,69,81,15348,21.5,215,2.1,2,-5,21,652,2932,6.1,59.4,20,441,64.3,25.1,106,5223,357,55524,31.3,46.2,68.1,-1.4,1785,21.7,1,2,69,206203909,200589823,106.01,1,6,4920,40,1177491,1763,78.7,43640,7.75,0.403,8.4,11,13654,155,8.2,8.3,22.3,1.3,34.1,16.3,25.2,0.9,12.7,10.8
Arizona,43.92,5.11,79.9,16.2,83.8,25.1,9.2,84.2,29049,5.8,4.61,4.92,7.8,7.1,75.5,67.6,75.3,30.4,23,8.6,92.1,22.5,32.4,11.5,11.5,47.5,24.7,29,69.6,45,13995,21813,1612,7610,413,128,74.3,10.6,6500180,26.3,13.3,88.2,11.8,58.2,30.1,3.5,2.3,4.1,1.9,46.4,37.4,68.1,4.2,59.1,12264,0.21,6.6,13.1,206,6.7,7.1,28.9,12,84.6,7.8,25.6,62,22.3,15.9,15.6,21,841,528,106,9930,32.5,1996,1.9,2.3,17.4,123,447,4291,8.9,76.1,16,1673,25.7,2.1,36,38988,565,26316,22.4,34.3,56.2,3.9,1635,31.1,2,8,15.1,21492996,17366164,5.37,14,9,630,0,250089,1172,74.1,32343,7.25,0.453,14.7,20.8,7519,18,9.5,9.6,6.5,5,32.9,19.1,27.2,0.4,11.2,9.1
Arkansas,36.88,3.87,76.1,18,82,18.8,6.3,83,23471,4.2,3.98,3.44,9.5,9.1,71.8,50.2,71.2,25.6,28.7,12.5,79.7,21.1,49.8,5.8,13.5,57.2,28.8,27,74.4,56.7,11669,21053,2128,8702,962,86,63.4,12,2855390,24.6,14.3,52.5,47.5,75.6,5.5,15.5,1,0.5,1.9,42.3,26.9,67.4,2.5,15.4,5626,0.2,5,12.6,317,8.3,9.1,45.9,14.4,81.4,9.5,29.5,62.3,20.4,22.3,12.6,19.2,496,363,17,8826,44.8,753,2.3,2,-15,70,503,3835,8.5,68.4,13.3,1395,48.9,13.2,36,14552,507,27007,21.2,24.5,53.4,-0.4,2135,23,1,5,21.3,3455259,325555,1,132,9,15923,0,414124,4611,71.9,27753,6.25,0.459,17.3,24.9,7655,130,13.1,7.7,4.2,5.5,29.4,16.3,25.9,1.1,9.8,17.5
California,59.16,5.56,80.4,19.8,80.2,29.6,10.8,89.5,31008,5.99,5.3,5.37,8.5,6.9,49.6,49.2,76.3,29.3,20.1,8.7,123.6,26.6,50.8,24.2,10.7,52.3,23.7,23.4,70.7,56.1,15683,37017,586,9283,446,191,75.6,8.3,36756666,25.5,11.2,94.4,5.6,42,36.6,5.9,12.2,0.4,2.8,52.1,51.8,57,7.9,52.1,170270,0.47,10,11.9,257,5.2,6.9,23.5,10.2,86.8,8.5,24.3,39.9,26.1,14,15.6,20.4,4369,5107,106,7054,33,6087,1.1,1.1,0,570,504,2940,6.9,73.8,9.2,8903,24.2,9.1,37,173320,471,56554,22.6,31.5,61.7,4.9,1047,27.5,21,34,10.8,17906862,8071051,0.78,197,94,20620,2015,234158,1433,74,42064,8,0.473,13.3,18.5,7006,271,6,12.4,17.2,5.4,35.8,17.7,25.3,1.4,8.6,11.2
Colorado,51.23,5.65,79.9,11.1,88.9,35.6,12.7,87.5,30853,5.8,5.81,5.34,6,9,66.3,51.1,59.8,23.4,18,8.4,66.4,23.2,48.9,10.9,10.2,35.4,40.2,39.7,76.6,63.6,14240,29331,2197,8593,709,187,76.1,7.7,4939456,24.4,10.3,84.5,15.5,70.8,20.2,3.6,2.5,0.6,2.3,47.3,38.5,67.5,2.5,29.7,21730,0.47,6.4,11.3,285,6.3,9,21.2,11,86.5,6,19.1,43.8,26.6,17.6,16,17.8,558,271,66,9528,16.4,1041,1.6,1.6,0,76,343,2849,3.7,64.1,15.2,2098,42.5,9.3,23,23130,468,32425,30.9,42.7,69.8,4.6,817,37,2,7,19.5,6295753,5919746,0.92,6,18,10871,1177,300243,3283,79.2,41102,7.24,0.457,11.4,15.1,7222,7,5,8,7,5.4,38.1,16.4,24.8,0.5,10.8,9.4
Connecticut,58.05,6.3,80.2,11.4,88.6,35.6,15.2,92.1,36827,5.91,6.44,6.57,6.8,8.1,47.4,35.6,57.6,18.2,14.3,7.6,100.4,24.9,64.4,5.2,12.1,30,42.4,39.8,81.8,62.9,17364,42268,2982,14165,753,209,82,5.8,3501252,23.2,13.7,87.7,12.3,73.6,12,9,3.4,0.2,1.8,48.2,39.6,69,1.9,20.2,5357,0.15,7.8,8.8,449,5.5,8.1,23,8.8,88.2,6.8,21.4,23.5,36.1,15.9,16.6,11.1,537,329,191,12964,23.9,388,0.8,0.8,0,35,298,2459,3.9,48,8,674,19.3,11.9,57,21099,411,33461,29.8,37.4,67.1,3.2,858,32.1,1,6,12.6,1027151,321708,0.13,4,14,8052,1305,265316,1211,79,50758,8.25,0.486,9.3,12.5,8756,136,6.4,8.9,17.3,2.8,40.2,16.7,24.9,0.2,7.7,10.2
Delaware,58.61,5.33,78.3,12.8,87.2,27.5,10.8,88.4,31320,5.13,5.4,5.44,8.3,9.3,52.3,52.7,64.9,28.1,14.2,7.7,94,23,47.3,5.7,15.2,42.7,35.1,31.7,71.9,66.3,17185,21454,2684,12196,421,153,76.5,8.5,873092,23.6,13.9,80.1,19.9,68.2,6.8,20.2,2.9,0.3,1.7,47.5,31.3,73.5,1.7,11.3,1108,0.13,7.5,10.6,830,9,9.3,17.2,8.6,84.3,8.3,27.8,41.9,26.2,17.8,17.9,12.6,136,82,121,12085,24.9,146,0.8,1.2,33.3,16,703,3585,6.1,62.2,10.4,366,41.9,11,119,7362,473,36539,22.1,32.9,66.1,3,2428,25.8,0,3,20.4,592012,73886,18.96,968,14,2032,280,368262,1357,76.9,56401,7.25,0.447,10,13.6,6862,27,8.4,8.8,11.9,3.3,36.8,17.4,26.4,0.3,9.5,9.7
District of Columbia,91.12,6.21,75.6,14.2,85.8,48.2,26.7,92.7,40342,4,7.44,7.2,8,11.1,63.1,26.4,83.2,45.1,25.7,15.2,120.3,23.7,73.6,8.5,14.8,68.6,16.8,11.2,54.9,56.3,"",37554,"",16086,"",624,73.3,8.8,591833,18.9,11.9,100,0,32.8,8.6,52.8,3.3,0.3,2.1,45.5,37.8,43.4,2.5,9,5518,1,9.3,6.6,"",12.2,11.1,32.6,11.9,84.6,8,22.3,48.4,73.2,16.2,17.9,10.8,74,143,207,"",41.8,40,0.4,0.4,0,8,1438,5105,23.3,"",5.1,186,31.4,23.6,"","","","",28.4,43,60.6,11.6,"","",1,0,6.7,266,114,"","",1,"","",328318,19,75.8,126407,8.25,0.54,17.2,25.9,68939,"",14.9,10.4,10.4,1.8,55.6,16,20.1,0.1,3,5.2
Florida,50.01,5.07,79.7,14.8,85.2,25.8,9,86.9,27366,5.71,5,4.51,9.5,8.7,68.8,48.4,64.2,35,21.3,10.4,106.4,27.3,51.6,8.6,14.6,49.6,35.8,29,65,60.2,11506,28185,2099,8885,349,87,75,9.7,18328340,21.8,17.4,89.3,10.7,60.1,21,14.8,2.2,0.2,1.6,53.7,44.9,69.7,2.7,55,60867,0.34,7.1,10.3,423,7.2,8.7,34.8,9,88.5,9.5,25.2,45.2,25.5,17.5,13,23.8,3133,1638,53,8773,23.3,5147,2.1,2.2,4.5,252,689,4141,7,"",12.6,5972,32.6,12.8,26,100494,548,30649,19.9,30,67.5,4.8,1629,23.8,6,21,14.2,5541706,647570,0.5,51,52,4742,663,256737,1153,75,32925,7.25,0.471,13.2,18.3,7905,8,7.8,11.7,5.8,5,32.8,19.2,28.3,0.7,10,8.9
